map,slip,gamma,candidate_kind,candidate_top_fraction,residual_kind,residual_top_fraction,soft_kind,soft_top_fraction,local_horizon,hidden_threshold,soft_threshold,residual_threshold,residual_threshold_mode,compute_struct_distinct,residual_reward_weight,residual_hit_weight,value_scale_task,soft_cost_weight,n_states,n_boundary,n_candidate_boundary,n_pair_options,n_edges_valid,invalid_hidden_count,hidden_mass_total,hidden_mass_max,soft_cost_all_total,soft_cost_valid_total,soft_cost_max,soft_over_threshold_count,model_residual_valid_total,model_residual_max,residual_threshold_metric_valid_total,residual_threshold_metric_max,residual_backup_value_norm_valid_total,residual_backup_value_norm_max,struct_hidden_prob_valid_total,struct_hidden_prob_max,struct_hidden_bits_valid_total,struct_hidden_bits_max,struct_hidden_distinct_valid_total,struct_hidden_distinct_max,struct_nohit_prob_max,beta_global,l_gamma_row_max,residual_hidden_mass_max,residual_over_threshold_count,feasible,start_value_smdp,start_value_primitive,start_gap,value_gap_max,start_best_option,policy_tv_total,policy_regions_total,policy_tv_mean,policy_regions_mean,target_policy_tv_total,target_policy_regions_total,target_policy_tv_mean,target_policy_regions_mean,hard_split_candidate_state,hard_split_candidate_coord,hard_split_candidate_score,residual_split_candidate_state,residual_split_candidate_coord,residual_split_candidate_score,soft_split_candidate_state,soft_split_candidate_coord,soft_split_candidate_score,description_length_proxy,step,split_candidate_state,split_candidate_score,split_candidate_source,split_candidate_coord,stop_reason
open_room,0.0,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,4.0,struct_distinct,True,0.05,0.0,8.75252910350239,1.0,35,2,2,2,2,0,0.0,0.0,2.4904621173091304,2.4904621173091304,1.5204621173091302,2,1.9677438641400955,0.9838719320700477,2.0,1.0,9.906246209127714,4.953123104563857,2.0,1.0,79.7262742772967,39.86313713864835,2.0,1.0,0.0,0.7374241268949282,8.752529103502386,1.0,0,True,-8.75252910350239,-8.75252910350239,0.0,0.0,fb_000_to_001,30.0,5.0,15.0,2.5,30.0,5.0,15.0,2.5,,,0.0,,,0.0,27,"(4, 7)",0.97,18.058205981449227,0,,0.0,none,,hybrid_threshold
open_room,0.05,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,4.0,struct_distinct,True,0.05,0.0,9.19001272578314,1.0,35,2,2,2,2,0,0.0,0.0,3.355160423271827,3.355160423271827,3.337033911680864,2,1.8268889349209492,0.9134444674604748,1.8716729353559383,0.9358364676779691,8.89724917942481,4.448624589712409,1.8716729237761336,0.9358364618880669,7.92420498512203,3.962102492561017,1.8716729353559383,0.9358364676779691,0.0,0.7352825076218381,8.823916412605403,0.9358364618880669,0,True,-9.268811904277364,-9.19001272578314,0.07879917849422391,0.07879917849422391,fb_000_to_001,28.4,5.0,14.2,2.5,28.4,5.0,14.2,2.5,,,0.0,,,0.0,30,"(5, 3)",0.8796588346772263,18.462049358192775,0,,0.0,none,,hybrid_threshold
four_rooms,0.0,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,4.0,struct_distinct,True,0.05,0.0,11.57212408464641,1.0,51,2,4,2,0,2,2.0,1.0,1.2329439104767141,0.0,1.2329439104767141,0,0.0,0.953062489907928,0.0,3.0,0.0,3.3751066619041907,0.0,1.0,0.0,39.86313713864835,0.0,3.0,0.0,0.6528362774606075,11.572124084646408,1.0,0,False,nan,-11.57212408464641,inf,inf,INFEASIBLE,66.0,11.0,33.0,5.5,66.0,11.0,33.0,5.5,26,"(3, 7)",1.0,,,0.0,,,0.0,22.8,0,26,1.0,hard_hidden,"(3, 7)",continue
four_rooms,0.0,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,4.0,struct_distinct,True,0.05,0.0,11.57212408464641,1.0,51,3,4,6,3,3,3.0,1.0,3.5906406460122344,3.5906406460122344,1.2329439104767141,3,1.012851996714,1.0456710937082025,1.0,2.0,6.8482951487782024,6.8482951487782024,1.0,1.0,39.86313713864835,39.86313713864835,1.0,2.0,0.0,0.8329720049289999,7.208554685410126,1.0,0,False,nan,-11.57212408464641,inf,inf,INFEASIBLE,216.0,34.0,36.0,5.666666666666667,108.0,17.0,36.0,5.666666666666667,24,"(3, 5)",3.0,,,0.0,40,"(4, 11)",1.2704867952771541,45.003492642726236,1,24,3.0,hard_hidden,"(3, 5)",continue
four_rooms,0.0,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,4.0,struct_distinct,True,0.05,0.0,11.57212408464641,1.0,51,4,4,12,12,0,0.0,0.0,4.823584556488949,4.823584556488949,1.2329439104767141,4,2.025703993428,1.012851996714,2.0,1.0,13.696590297556405,6.8482951487782024,2.0,1.0,79.7262742772967,39.86313713864835,2.0,1.0,0.0,0.9409,5.567599835699998,1.0,0,True,-11.572124084646411,-11.57212408464641,1.7763568394002505e-15,1.7763568394002505e-15,fb_000_to_001,450.0,69.0,37.5,5.75,150.0,23.0,37.5,5.75,,,0.0,,,0.0,40,"(4, 11)",1.905730192915731,67.94928854991694,2,,0.0,none,,hybrid_threshold
four_rooms,0.05,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,4.0,struct_distinct,True,0.05,0.0,12.185911752175528,1.0,51,2,4,2,0,2,2.0,1.0000000000000004,0.6678408722396028,0.0,0.6676582215190286,0,0.0,0.9353997146900606,0.0,2.9679276439750173,0.0,3.18588267030038,0.0,0.9999999999999998,0.0,39.86313713864835,0.0,2.9679276439750173,2.220446049250313e-16,0.6486833685494997,11.710554381683336,0.9999999999999998,0,False,nan,-12.185911752175528,inf,inf,INFEASIBLE,62.0,11.0,31.0,5.5,62.0,11.0,31.0,5.5,24,"(3, 5)",1.0000000000000004,,,0.0,,,0.0,22.0,0,24,1.0000000000000004,hard_hidden,"(3, 5)",continue
four_rooms,0.05,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,4.0,struct_distinct,True,0.05,0.0,12.185911752175528,1.0,51,3,4,6,2,4,3.000302307940899,0.9999999999999994,1.335681808598059,0.00036530144114830897,0.6676582215190286,2,0.20289550154522962,1.037653386258505,0.0006481348761413017,1.9676035819721753,1.295619003829721,6.386247533914078,0.00064812224549975,0.9999999999999998,0.0009351942877131693,39.86313713864835,0.0006481348761413017,1.9676035819721753,4.440892098500626e-16,0.8298916991685619,7.361588376823,0.9999999999999998,0,False,nan,-12.185911752175528,inf,inf,INFEASIBLE,203.20000000000002,34.0,33.86666666666667,5.666666666666667,101.60000000000001,17.0,33.86666666666667,5.666666666666667,26,"(3, 7)",3.000302307940899,,,0.0,42,"(5, 2)",0.00036530144114830897,38.98992746965305,1,26,3.000302307940899,hard_hidden,"(3, 7)",continue
four_rooms,0.05,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,4.0,struct_distinct,True,0.05,0.0,12.185911752175528,1.0,51,4,4,12,12,0,0.0,0.0,3.8340394666748043,3.8340394666748043,1.830496678282954,9,3.065715239734387,0.9751879128316419,1.9377780730523364,0.9667054792849454,25.358376348569763,6.385209921822712,1.9372207115907578,0.9664271847097837,9.79942615044513,4.896562668678093,1.9377780730523364,0.9667054792849454,4.440892098500626e-16,0.9398419499216982,5.690848348298611,0.9664271847097837,0,True,-12.301146070245332,-12.185911752175528,0.11523431806980433,0.11523431806980433,fb_000_to_001,423.6000000000001,69.0,35.300000000000004,5.75,141.20000000000002,23.0,35.300000000000004,5.75,,,0.0,,,0.0,40,"(4, 11)",1.965839839643408,66.23975470640919,2,,0.0,none,,hybrid_threshold
maze,0.0,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,4.0,struct_distinct,True,0.05,0.0,22.199077937496824,1.0,81,2,2,2,2,0,0.0,0.0,6.375771414961022,6.375771414961022,4.309620929135694,2,2.690963117499872,1.3454815587499362,24.0,13.0,3.7397506352407786,1.8698753176203895,2.0,1.0,79.7262742772967,39.86313713864835,24.0,13.0,0.0,0.33402766187509486,22.19907793749682,1.0,2,True,-22.199077937496824,-22.199077937496824,0.0,0.0,fb_000_to_001,134.0,65.0,67.0,32.5,134.0,65.0,67.0,32.5,,,0.0,57,"(5, 19)",13.0,63,"(6, 19)",0.97,73.4667345324609,0,57,13.0,model_residual,"(5, 19)",continue
maze,0.0,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,4.0,struct_distinct,True,0.05,0.0,22.199077937496824,1.0,81,3,3,6,6,0,0.0,0.0,8.588615599219121,8.588615599219121,2.579389870481129,6,3.9157913426960222,1.3454815587499362,35.0,12.0,5.56919032750624,1.9143853113550462,3.0,1.0,119.58941141594505,39.86313713864835,35.0,12.0,0.0,0.9409,22.19907793749682,1.0,3,True,-22.199077937496824,-22.199077937496824,0.0,0.0,fb_000_to_001,400.0,194.0,66.66666666666667,32.333333333333336,200.0,97.0,66.66666666666667,32.333333333333336,,,0.0,55,"(5, 17)",12.0,63,"(6, 19)",2.91,112.30440694191515,1,55,12.0,model_residual,"(5, 17)",continue
